filem_name,genre,director_rank,director,sum_of_first_five,film_income,runtime_minuts,release_year
Avengers: Age of Ultron,"Action, Adventure, Sci-Fi, Fantasy",11966,Joss Whedon,79780,459000000,141,2015
Mad Max: Fury Road,"Action, Adventure",11862,George Miller,60544,153600000,120,2015
Pitch Perfect 2,"Musical, Comedy",11561,Elizabeth Banks,47285,183700000,115,2015
Poltergeist,"Mystery & Thriller, Horror",11405,Gil Kenan,38937,47300000,93,2015
Tomorrowland,"Mystery & Thriller, Adventure, Sci-Fi",11978,Brad Bird,38369,93400000,129,2015
San Andreas,"Action, Adventure, Mystery & Thriller",11874,Brad Peyton,44242,155200000,114,2015
Love & Mercy,"Biography, Drama",9505,Bill Pohlad,44739,12500000,120,2015
Jurassic World,"Action, Adventure, Mystery & Thriller, Sci-Fi",11915,Colin Trevorrow,44378,652600000,124,2015
Dope,Comedy,9821,Rick Famuyiwa,55380,17500000,103,2015
Max,"Adventure, Drama",11418,Boaz Yakin,33406,42700000,111,2015
Ted 2,"Fantasy, Comedy",11783,Seth MacFarlane,70718,81300000,115,2015
Terminator Genisys,"Action, Sci-Fi",11836,Alan Taylor,46602,89800000,126,2015
Magic Mike XXL,"Drama, Comedy",6350,Gregory Jacobs,44729,66000000,115,2015
Minions,"Kids & Family, Adventure, Animation, Comedy",11982,"Pierre Coffin, Kyle Balda",47655,336000000,91,2015
Ant-Man,"Action, Adventure, Fantasy, Comedy",11919,Peyton Reed,48020,180200000,117,2015
Mr. Holmes,"Mystery & Thriller, Drama",11968,Bill Condon,51467,17700000,105,2015
Pixels,"Action, Fantasy, Adventure, Sci-Fi, Comedy",11985,Chris Columbus,48528,78700000,106,2015
Southpaw,Drama,11880,Antoine Fuqua,40318,52400000,123,2015
Paper Towns,"Mystery & Thriller, Adventure, Drama, Comedy",10929,Jake Schreier,50679,31900000,109,2015
The Gift,Mystery & Thriller,10761,Joel Edgerton,55289,43800000,108,2015
Ricki and the Flash,"Drama, Comedy",11739,Jonathan Demme,44219,26800000,100,2015
Straight Outta Compton,"Biography, Drama, Music",11951,F. Gary Gray,56913,161000000,147,2015
She's Funny That Way,"Romance, Comedy",11236,Peter Bogdanovich,43969,10640000,93,2015
Hitman: Agent 47,"Action, Adventure",10864,Aleksander Bach,48428,22400000,96,2015
Before We Go,"Romance, Drama, Comedy",5347,Chris Evans,35766,3700000,95,2015
The Visit,"Mystery & Thriller, Horror, Comedy",11971,M. Night Shyamalan,42658,65100000,94,2015
The Perfect Guy,Mystery & Thriller,10654,David M. Rosenthal,43526,57000000,100,2015
Everest,"Mystery & Thriller, Adventure, Drama",0,Baltasar Kormákur,42881,43200000,121,2015
Sicario,"Mystery & Thriller, Drama, Crime",11830,Denis Villeneuve,63241,46900000,121,2015
99 Homes,Drama,7592,Ramin Bahrani,50879,1400000,110,2015
The Intern,"Drama, Comedy",11877,Nancy Meyers,61729,75600000,121,2015
Stonewall,"Lgbtq+, History, Drama",11984,Roland Emmerich,45236,18640000,129,2015
Mississippi Grind,Drama,11843,"Ryan Fleck, Anna Boden",38026,12970000,108,2015
The Walk,"Adventure, Biography, Drama",11989,Robert Zemeckis,58784,10100000,124,2015
The Martian,"Adventure, Drama, Sci-Fi",11986,Ridley Scott,74305,228400000,142,2015
Steve Jobs,"Biography, Drama",11812,Danny Boyle,46002,17800000,121,2015
Pan,"Kids & Family, Adventure, Action, Fantasy",11754,Joe Wright,47191,35100000,111,2015
Knock Knock,Mystery & Thriller,11565,Eli Roth,48813,3400000,99,2015
Bridge of Spies,"Mystery & Thriller, History, Drama",11999,Steven Spielberg,62048,72300000,141,2015
Crimson Peak,"Mystery & Thriller, Romance, Horror",11853,Guillermo del Toro,61731,31100000,119,2015
Goosebumps,"Fantasy, Adventure, Comedy",11913,Rob Letterman,60710,80100000,103,2015
Room,Drama,10369,Lenny Abrahamson,46672,14700000,118,2016
Woodlawn,"Biography, History, Drama",0,The Erwin Brothers,52315,14400000,123,2015
Rock the Kasbah,Comedy,11879,Barry Levinson,66670,3000000,106,2015
Paranormal Activity: The Ghost Dimension,"Mystery & Thriller, Horror",10974,Gregory Plotkin,40476,18300000,88,2015
Jem and the Holograms,"Drama, Musical",11891,Jon M. Chu,34535,2000000,118,2015
The Last Witch Hunter,"Fantasy, Adventure, Action",11470,Breck Eisner,50696,27400000,106,2015
Suffragette,"History, Biography, Drama",10401,Sarah Gavron,63819,4700000,106,2015
I Smile Back,Drama,2534,Adam Salky,41491,5770000,85,2015
Scouts Guide to the Zombie Apocalypse,"Comedy, Horror",11477,Christopher Landon,39190,3700000,93,2015
Our Brand Is Crisis,Comedy,11698,David Gordon Green,35892,7000000,108,2015
Burnt,Drama,10946,John Wells,63253,13700000,100,2015
Brooklyn,"Drama, History, Romance",10859,John Crowley,45097,38300000,112,2015
Spectre,"Action, Adventure, Mystery & Thriller",11970,Sam Mendes,73949,200100000,148,2015
Spotlight,Drama,11204,Tom McCarthy,43576,45000000,128,2015
The 33,Drama,11034,Patricia Riggen,45524,12000000,125,2015
My All American,"Biography, Drama",7433,Angelo Pizzo,36619,2200000,118,2015
Creed,Drama,11897,Ryan Coogler,48876,109700000,133,2015
In the Heart of the Sea,"Action, Adventure, History, Drama",11987,Ron Howard,45316,23100000,116,2015
The Big Short,"Drama, Comedy",11805,Adam McKay,49283,70200000,130,2015
Star Wars: The Force Awakens,"Fantasy, Action, Adventure, Sci-Fi",11991,J.J. Abrams,49709,123,136,2015
Concussion,"Biography, Drama",10574,Peter Landesman,38735,33800000,121,2015
Daddy's Home,Comedy,11736,Sean Anders,66461,150300000,96,2015
The Hateful Eight,Western,11936,Quentin Tarantino,70112,54100000,168,2015
